State,Bedroom,Bathroom,Area,LotArea,Latitude,Longitude,ListedPrice
30,4.0,3.0,3520.0,0.8699999999999999,35.182392,-106.48949,1280000.0
10,5.0,4.0,3561.0,0.64,41.579033,-93.67661,1275000.0
8,3.0,4.0,2207.0,0.1901056014692378,27.795204,-82.61783,1275000.0
37,3.0,4.0,2912.0,0.3631313131313131,41.744583,-71.30358,1250000.0
11,3.0,1.0,944.0,0.2799999999999999,44.70965,-116.09699,1250000.0
39,3.0,3.0,6976.0,0.9057509182736456,44.94172,-97.22426,1250000.0
31,4.0,3.0,2987.0,1.39,36.067207,-115.09272,1250000.0
29,4.0,4.0,4180.0,0.2299999999999999,39.964607,-74.1167,1250000.0
11,6.0,3.0,4651.0,2.71,44.573364,-116.06041,1250000.0
18,4.0,3.0,3216.0,0.4699954086317722,39.077103,-76.59546,1245000.0
5,6.0,5.0,7340.0,0.6030073461891644,38.98787,-105.04235,1224000.0
9,5.0,4.0,4734.0,1.24,34.15157,-83.99232,1215000.0
37,4.0,2.0,2335.0,0.3300045913682277,41.396263,-71.471344,1200000.0
17,5.0,4.0,3262.0,0.4599862258953168,42.56999,-71.20524,1200000.0
9,3.0,4.0,3120.0,0.1399999999999999,34.10659,-84.21981,1200000.0
28,3.0,3.0,2631.0,0.3800045913682277,43.058365,-70.768814,1200000.0
3,4.0,4.0,2981.0,0.2587924701561065,33.85822,-112.10148,1200000.0
30,3.0,4.0,3132.0,5.61,34.99423,-106.69136,1200000.0
3,4.0,3.5,2938.0,0.5256887052341598,33.364815,-112.04591,1200000.0
24,4.0,3.0,4970.0,2.544,45.816944,-108.591095,1200000.0
24,4.0,3.0,4012.0,0.2857,45.788845,-108.64777,1200000.0
4,6.0,6.0,5444.0,5.05,38.728996,-120.71129,1200000.0
19,3.0,3.0,1820.0,4.0200000000000005,44.10748,-70.4895,1200000.0
11,3.0,3.0,3528.0,28.03,45.273693,-113.90944,1200000.0
0,7.0,6.0,6538.0,2.0,61.54586,-149.397,1200000.0
5,5.0,5.0,5447.0,0.1910009182736455,39.52671,-105.05917,1200000.0
4,4.0,2.0,1592.0,0.1724288337924701,34.18727,-118.56636,1200000.0
2,5.0,4.0,4991.0,1.11,34.70009,-92.10345,1200000.0
